Id,Title,Excerpt,Description,Synonyms,Variations,Categories,Abbreviation,Tags,Meta
533,ダブルショット,,"2色の層を組み合わせてキーキャップを作ること。
1色目で文字（刻印）を成型し、2色目で成形した文字をかぶせるようにキーキャップ全体を成型する。
キーキャップの上に文字が印字されているわけではないため、キーを使っていくうちに文字が薄れていく、といった劣化現象が起きない。　

和名：ダブルショット、ダブルショット印刷、2色成型　
英名：Doubleshot、Double Shot、Double-Shot 

仕組みは下記を参照（画像あり）
- <a href=""https://imgur.com/a/OhRd4"">Ripster Keyboard Science: Doubleshot Keys</a>
- <a href=""https://pimpmykeyboard.zendesk.com/hc/en-us/articles/204416165-Should-I-order-Double-Shot-or-Sublimated-keycaps-"">Should I order Double Shot or Sublimated keycaps?</a>",,,,,,"{""_edit_lock"":""1534384710:3"",""_edit_last"":""1"",""_oembed_1e84bca91a315bfe0004a5894043ca40"":""<blockquote class=\"imgur-embed-pub\" lang=\"en\" data-id=\"a\/OhRd4\"><a href=\"https:\/\/imgur.com\/a\/OhRd4\">Ripster Keyboard Science: Doubleshot Keys<\/a><\/blockquote><script async src=\"\/\/s.imgur.com\/min\/embed.js\" charset=\"utf-8\"><\/script>"",""_oembed_time_1e84bca91a315bfe0004a5894043ca40"":""1527423042"",""_oembed_b1895dd474eb70eee4a606e02dad7c84"":""<blockquote class=\"imgur-embed-pub\" lang=\"en\" data-id=\"a\/OhRd4\"><a href=\"https:\/\/imgur.com\/a\/OhRd4\">Ripster Keyboard Science: Doubleshot Keys<\/a><\/blockquote><script async src=\"\/\/s.imgur.com\/min\/embed.js\" charset=\"utf-8\"><\/script>"",""_oembed_time_b1895dd474eb70eee4a606e02dad7c84"":""1527423102"",""_oembed_c5c2ce4f0ba8e08dbc15b7f895789231"":""{{unknown}}"",""_oembed_a9a319c5fe83428e5060d221b9b1412f"":""{{unknown}}""}"
541,昇華印刷,,"特殊なインクをPBT樹脂のキーキャップに高温と高圧をかけて文字を浸透させる製造方法。
キーキャップの上に文字が印字されているわけではないため、キーを使っていくうちに文字が薄れていく、といった劣化現象が起きない。　

和名：昇華印刷　
英名：Dye Sublimation Legends、Dye-Sub、Dye Sublimited Print　

仕組みは下記を参照（画像あり）
- <a href=""https://imgur.com/a/OhRd4"">Ripster Keyboard Science: Doubleshot Keys</a>
- <a href=""https://pimpmykeyboard.zendesk.com/hc/en-us/articles/204416165-Should-I-order-Double-Shot-or-Sublimated-keycaps-"">Should I order Double Shot or Sublimated keycaps?</a>",,,,,,"{""_edit_lock"":""1527430200:1"",""_edit_last"":""1""}"
549,Doubleshot,,"2色の層を組み合わせてキーキャップを作ること。
1色目で文字（刻印）を成型し、2色目で成形した文字をかぶせるようにキーキャップ全体を成型する。
キーキャップの上に文字が印字されているわけではないため、キーを使っていくうちに文字が薄れていく、といった劣化現象が起きない。　

和名：ダブルショット、ダブルショット印刷、2色成型　
英名：Doubleshot、Double Shot、Double-Shot 

仕組みは下記を参照（画像あり）
- <a href=""https://imgur.com/a/OhRd4"">Ripster Keyboard Science: Doubleshot Keys</a>
- <a href=""https://pimpmykeyboard.zendesk.com/hc/en-us/articles/204416165-Should-I-order-Double-Shot-or-Sublimated-keycaps-"">Should I order Double Shot or Sublimated keycaps?</a>",,,,,,"{""_edit_lock"":""1527430191:1"",""_edit_last"":""1""}"
552,"Dye Sublimation",,"特殊なインクをPBT樹脂のキーキャップに高温と高圧をかけて文字を浸透させる製造方法。
キーキャップの上に文字が印字されているわけではないため、キーを使っていくうちに文字が薄れていく、といった劣化現象が起きない。　

和名：昇華印刷　
英名：Dye Sublimation Legends、Dye-Sub、Dye Sublimited Print　

仕組みは下記を参照（画像あり）
- <a href=""https://imgur.com/a/OhRd4"">Ripster Keyboard Science: Doubleshot Keys</a>
- <a href=""https://pimpmykeyboard.zendesk.com/hc/en-us/articles/204416165-Should-I-order-Double-Shot-or-Sublimated-keycaps-"">Should I order Double Shot or Sublimated keycaps?</a>",,,,,,"{""_edit_lock"":""1527430055:1"",""_edit_last"":""1""}"
750,メカニカル,,"キーの1つ1つにスイッチや金属製のバネを採用。打鍵するごとに独特な音と感触がするキーボードのこと。

通常のキーボードよりも値段が高く、その分長持ちするのが特徴。コストよりも性能を重視するユーザーが好む。
1つのキーを連続で押す動きに強いため、ゲーマーに愛されている傾向にある。

&nbsp;

参考画像：<a href=""https://www.diatec.co.jp/products/CHERRY/"">チェリー社製作キーボード</a>

&nbsp;",,,,,,"{""_edit_lock"":""1534383766:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":""    100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_wp_old_slug"":""%e3%83%a1%e3%82%ab%e3%83%8b%e3%82%ab%e3%83%ab%e3%82%ad%e3%83%bc%e3%83%9c%e3%83%bc%e3%83%89"",""_glossary_related_article"":""a:0:{}""}"
754,メンブレン,,"最も一般的なキーボードであり、キーとスイッチの間に絶縁体を挟み、押すことによって反応する。

耐久性は他のタイプに劣るが、非常に安価であるため、コストパフォーマンスが良いとされている。

&nbsp;

参考画像：<a href=""https://www.diatec.co.jp/products/CHERRY/"">チェリー社キーボード</a>",,,,,,"{""_edit_lock"":""1534383772:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":""    100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_wp_old_slug"":""%e3%83%a1%e3%83%b3%e3%83%96%e3%83%ac%e3%83%b3%e3%82%ad%e3%83%bc%e3%83%9c%e3%83%bc%e3%83%89"",""_glossary_related_article"":""a:0:{}""}"
758,パンタグラフ,,"主にノートパソコンで採用されているキーが低いキーボードである。

キータッチが軽いため、快適なキータッチを好むユーザーに人気があり、長時間の作業に向いているのが特徴。

価格はそれなりにするが、性能と価格のバランスがとれたキーボードである。

参考画像：<a href=""http://buffalo.jp/php/lqa.php?id=BUF10374"">Buffalo社ページ</a>",,,,,,"{""_edit_lock"":""1534383729:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":""   100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_wp_old_slug"":""%e3%83%91%e3%83%b3%e3%82%bf%e3%82%b0%e3%83%a9%e3%83%95%e3%82%ad%e3%83%bc%e3%83%9c%e3%83%bc%e3%83%89"",""_glossary_related_article"":""a:0:{}""}"
761,静電容量無接点方式,,"物理的な接触がないキーボードであり、スイッチ自体は半永久的に使用することができる。

摩擦がないため、打鍵音も非常に静かなのが特徴。非常に高価であり、長時間パソコンに向かって作業をするヘビーユーザー向け。

仕組みは下記を参照（画像あり）

<a href=""http://shop.tsukumo.co.jp/special/080520a/"">静電容量無接点方式</a>",,,,,,"{""_edit_lock"":""1534383923:3"",""_edit_last"":""3"",""_oembed_11fe582b71b4d36f6315c676e7a36e6d"":""{{unknown}}"",""_oembed_e1d8db7c66bfcf5b505877a655c98a69"":""{{unknown}}"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":""  100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_glossary_related_article"":""a:0:{}""}"
764,エルゴノミクス,,"通常のキーボードと形状が異なるキーボード。

通常のものは、手首に負担がかかるため、長時間の作業には適さない。

キーボードの中央部が折れ曲げ、手首への負担を軽減する構造になっている。

&nbsp;

<a href=""https://matome.naver.jp/odai/2141860542296065001"">画像はこちら</a>

&nbsp;",,,,,,"{""_edit_lock"":""1534383739:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":""   100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_wp_old_slug"":""%e3%82%a8%e3%83%ab%e3%82%b4%e3%83%8e%e3%83%9f%e3%82%af%e3%82%b9%e3%82%ad%e3%83%bc%e3%83%9c%e3%83%bc%e3%83%89"",""_glossary_related_article"":""a:0:{}""}"
767,軸,,"キーの素材によって「茶」「赤」「青」などの色に分類されています。

上記3色以外にも軸の色は存在はするが、レアリティが高いなどの理由でほとんど使われていないのが現状である。

<a href=""http://fps.game2ji.com/gamingkeyboard-jiku/"">参考URL</a>",,,,,,"{""_edit_lock"":""1534383484:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":""  100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_glossary_related_article"":""a:0:{}""}"
771,茶軸,,"押す時に必要な重さ45g（Cherry社仕様）。

バランスの取れたキーボードであり、軽すぎない打鍵感から汎用性があり使いやすい。

&nbsp;

和名：茶軸キー,茶軸スイッチ,茶軸

英名：brown switches

&nbsp;

<a href=""http://livedoor.blogimg.jp/mksaver70/imgs/9/8/98b34a86.jpg"">参考画像</a>",,,,,,"{""_edit_lock"":""1534383575:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":"" 100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_glossary_related_article"":""a:0:{}""}"
774,赤軸,,"押す時に必要な重さ45g（Cherry社仕様）。

茶軸よりキーが軽く、キーの反発を取り除いたもの。指が疲れにくく、マイクがタイピング音を拾いにくいのが特徴。

&nbsp;

和名：赤軸・赤軸キー・赤軸スイッチ

英名：red switches

&nbsp;

<a href=""https://www.diatec.co.jp/image_prod/FKBN108MRNB2_04.jpg"">参考画像</a>",,,,,,"{""_edit_lock"":""1534383673:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":"" 100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_glossary_related_article"":""a:0:{}""}"
781,青軸,,"押す時に必要な重さ50g（Cherry社仕様）。

茶軸より明確なスイッチ感と打鍵音があり、指や耳に刺激を求める人向け。

マイクがタイピング音を拾いやすいのがデメリットになる可能性もある。

&nbsp;

和名：青軸・青軸キー・青軸スイッチ

英名：blue switches

&nbsp;

<a href=""https://www.atpress.ne.jp/news/88719"">参考画像</a>",,,,,,"{""_edit_lock"":""1534383969:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":"" 100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_glossary_related_article"":""a:0:{}""}"
784,黒軸,,"押す時に必要な重さ60g（Cherry社仕様）。

赤軸をさらに重くした軸。押し切らず、半押しして使用するユーザーが多いとのこと。なぜか、プログラマーやライターに人気がある。

&nbsp;

和名：黒軸・黒軸キー・黒軸スイッチ

英名：black switches

&nbsp;

<a href=""http://kawahara-zakki.com/wp-content/uploads/2018/06/6bba321b177773e57b60f9c74753d930.png"">参考画像</a>",,,,,,"{""_edit_lock"":""1534384034:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":"" 100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_glossary_related_article"":""a:0:{}""}"
787,緑軸,,"Razer社が独自に製作した軸。押すのに必要な重さ50g。

青軸とほぼ同等の性能を持っており、打鍵音がしっかりとするのが特徴。

青軸と比較すると、0.3mm軸が浅い。

&nbsp;

和名：緑軸

英名：Razer Green switch

&nbsp;

<a href=""http://www.4gamer.net/games/023/G002318/20140417064/screenshot.html?num=024"">参考画像</a>",,,,,,"{""_edit_lock"":""1534384082:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":"" 100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_glossary_related_article"":""a:0:{}""}"
790,オレンジ軸,,"Razer社が独自に製作した軸。押すのに必要な重さ45～50g。

茶軸とほぼ同等の性能を持っている。茶軸と比較すると、0.3mm軸が浅い。

&nbsp;

和名：オレンジ軸

英名：Razer Orange switch

&nbsp;

<a href=""http://www.4gamer.net/games/023/G002318/20140417064/screenshot.html?num=025"">参考画像</a>",,,,,,"{""_edit_lock"":""1534384139:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":"" 100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_glossary_related_article"":""a:0:{}""}"
793,黄軸,,"Razer社が独自に製作した軸。押すのに必要な重さ45g。

入力距離が1.2mmでリセットポイントが0.0mmであり、黒軸に近い性能である。ただし、入力されやすくわずかにでも触ると反応してしまうので、慣れが必要である。

<a href=""https://shop.tsukumo.co.jp/features/170917r"">参考画像</a>",,,,,,"{""_edit_lock"":""1534384190:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":"" 100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_glossary_related_article"":""a:0:{}""}"
796,クリア軸,,キーの重さは黒軸とほぼ同等。キーを押し込む際に途中から軽く入るようになるタクタイルスイッチに近いものがある。,,,,,,"{""_edit_lock"":""1534384213:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":"" 100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_glossary_related_article"":""a:0:{}""}"
799,白軸,,"青軸に近しい軸。

カチカチ音でキー軸の軽さなどは、製造会社によって性能が異なる。代表的な軸ではないため、マニアや業務用で使用する人がほとんどである。

&nbsp;

<a href=""http://shop.tsukumo.co.jp/img/tsukumo/060325a07b.jpg"">参考画像</a>",,,,,,"{""_edit_lock"":""1534384288:3"",""_edit_last"":""3"",""_glossary_disable_related_terms_for_page"":""0"",""_glossary_disable_for_page"":""0"",""_glossary_disable_tooltip_for_page"":""0"",""_glossary_disable_links_for_page"":""0"",""_cmtt_highlightFirstOnly"":""0"",""_cmtt_disable_acf_for_page"":""0"",""_glossary_custom_link"":"""",""_cmtt_exclude_parsing"":""0"",""_cmtt_exclude_tooltip"":""0"",""_cmtt_disable_related_articles_for_term"":""0"",""_cmtt_hide_from_index"":""0"",""_cmtt_exclude_google_api"":""0"",""_cmtt_exclude_merriam_api"":""0"",""_cmtt_exclude_merriam_thesaurus_api"":""0"",""_cmtt_exclude_glosbe_dictionary_api"":""0"",""_cmtt_featured_image_position"":"""",""_cmtt_featured_image_size"":"" 100px"",""_cmtt_term_icon"":"""",""cmtt_synonyms"":"""",""cmtt_variations"":"""",""cmtt_abbreviations"":"""",""_glossary_related_article"":""a:0:{}""}"
